date,RECORD,SerNo,O3_Avg,T_int,Flow_Avg,Cell_Pres_Avg,T_Air,T_inst,O3_Status,Fan_Status,Zero_Status,V_Batt,Met_Diag_Flags
9/11/16 13:00,,2,46.575,26.025,3022.75,568.425,17.925,32.975,,0,0,14.14,
9/11/16 14:00,,2,47.95,25.725,2931,572.025,17.525,33.125,,0,0,13.99,
9/11/16 15:00,,2,48,26.45,2997.75,568.425,19.225,34.1,,0,0,14.1175,
9/11/16 16:00,,2,48.2,27.825,2988.5,568.575,19.2,36.325,,0,0,13.8725,
9/11/16 17:00,,2,49.4,24.875,2689,579.325,15.625,34.25,,0,0,12.905,
9/11/16 18:00,,2,52.9,17.5,2536.75,583.15,11.925,26.65,,0,0,12.7825,
9/11/16 19:00,,2,48.85,12.125,2387.25,585.625,9.8,20.275,,0,0,12.72,
9/11/16 20:00,,2,41.4,9.4,2268.25,587.225,9,16.675,,0,0,12.675,
9/11/16 21:00,,2,36.725,7.075,2183.5,588.5,8,14.075,,0,0,12.63,
9/11/16 22:00,,2,43.525,6.95,2124.75,589,11.55,13.025,,0,0,12.595,
9/11/16 23:00,,2,44.75,8.825,2123,588.45,11.875,14.025,,0,0,12.5625,
9/12/16 0:00,,2,,10.425,2110,595.4,11.65,16.575,,0,-0.5,12.405,
9/12/16 1:00,,2,44.03333,11.025,2186.25,590.825,10.875,19.225,,0,-0.25,12.4925,
9/12/16 2:00,,2,44.775,9.325,2172.25,588.225,10.1,16.475,,0,0,12.4525,
9/12/16 3:00,,2,45.475,8.425,2118.75,588.8,9.875,14.6,,0,0,12.4175,
9/12/16 4:00,,2,44.025,7.875,2084.5,589.225,9.775,13.55,,0,0,12.4025,
9/12/16 5:00,,2,43.55,7.825,2063.75,589.5,9.4,13.125,,0,0,12.3875,
9/12/16 6:00,,2,41,8.25,2122.75,587.3,10,13.35,,0,0,12.6425,
9/12/16 7:00,,2,40.375,10.4,2176.5,586.025,10.175,14.925,,0,0,12.665,
9/12/16 8:00,,2,40.225,11.4,2273,583.65,10.375,16.425,,0,0,12.88,
9/12/16 9:00,,2,39.625,12.225,2368.5,581.675,10.325,17.725,,0,0,13.07,
9/12/16 10:00,,2,41.175,14.55,2826.75,567.85,13.225,20.025,,0,0,14.635,
9/12/16 11:00,,2,40.675,18.025,2924,565.8,14.4,23.925,,0,0,14.9875,
9/12/16 12:00,,2,39.8,20.575,3095.25,560.025,15.4,27.125,,0,0,15.3325,
9/12/16 13:00,,2,41.9,20.85,3022,564.6,13.825,27.925,,0,0,14.11,
9/12/16 14:00,,2,45.575,16.5,2720,574.625,10.325,24.25,,0,0,13.3825,
9/12/16 15:00,,2,45.325,15.575,2912.5,566.5,11.3,23.1,,0,0,14.3175,
9/12/16 16:00,,2,44.425,14.3,2817.25,571.025,8.8,22.1,,0,0,13.8625,
9/12/16 17:00,,2,44.05,13.65,2584.5,576.6,9.025,21.85,,0,0,13.1175,
9/12/16 18:00,,2,44.7,12.025,2423.5,581.725,8.625,20.125,,0,0,12.7775,
9/12/16 19:00,,2,45.85,9.625,2320.5,583.275,8.775,16.55,,0,0,12.73,
9/12/16 20:00,,2,44.975,9.525,2262.75,584.125,9.4,15.475,,0,0,12.695,
9/12/16 21:00,,2,41,9.35,2234.5,584.75,9.075,14.95,,0,0,12.665,
9/12/16 22:00,,2,40.925,8.925,2208.25,585.325,9.075,14.35,,0,0,12.6325,
9/12/16 23:00,,2,38.975,8.725,2189.5,585.8,8.8,14.025,,0,0,12.605,
9/13/16 0:00,,2,38.225,8.025,2164.75,586.4,8.375,13.4,,0,0,12.5775,
9/13/16 1:00,,2,37.75,7.55,2140.5,587.1,8.05,12.85,,0,0,12.55,
9/13/16 2:00,,2,36.95,7.2,2118.5,587.725,7.925,12.425,,0,0,12.52,
9/13/16 3:00,,2,36,6.9,2096.25,588.3,7.475,12.05,,0,0,12.4875,
9/13/16 4:00,,2,34.15,6.825,2080.5,589.025,7.4,11.95,,0,0,12.455,
9/13/16 5:00,,2,34.325,6.775,2068.75,589.825,6.825,12,,0,0,12.42,
9/13/16 6:00,,2,34.55,6.45,2059.75,590.475,6.775,11.7,,0,0,12.4725,
9/13/16 7:00,,2,35.175,7.175,2106,589.275,6.9,12.225,,0,0,12.6175,
9/13/16 8:00,,2,34.925,7.975,2145.75,588.6,7.4,13.175,,0,0,12.7025,
9/13/16 9:00,,2,35.7,9.45,2419.75,581,8.95,14.7,,0,0,13.49,
9/13/16 10:00,,2,34.75,13.725,2744.5,571.375,11.75,18.85,,0,0,14.4,
9/13/16 11:00,,2,34.85,17.725,2959.75,565.625,13.125,23.5,,0,0,14.8375,
9/13/16 12:00,,2,35.6,20.4,3084,561.95,13.4,27.175,,0,0,14.15,
9/13/16 13:00,,2,37.8,22.075,3057.25,564.8,14.625,29.225,,0,0,14.335,
9/13/16 14:00,,2,39.375,20.05,2980,568.6,11.875,27.975,,0,0,14.0775,
9/13/16 15:00,,2,38.25,13.35,2546.25,581.55,6.55,21.9,,0,0,12.905,
9/13/16 16:00,,2,36.325,11.5,2677.5,574.3,9.175,19.6,,0,0,13.7475,
9/13/16 17:00,,2,35.1,14.175,2488.75,580.4,10.425,22.275,,0,0,12.875,
9/13/16 18:00,,2,37.875,11.7,2386.5,583.65,8.225,19.1,,0,0,12.7425,
9/13/16 19:00,,2,37.5,8.95,2285,584.925,8.725,15.525,,0,0,12.7075,
9/13/16 20:00,,2,36.975,9.225,2231.5,585.975,9.15,14.85,,0,0,12.675,
9/13/16 21:00,,2,35.15,8.725,2205.5,586.725,8.725,14.175,,0,0,12.6475,
9/13/16 22:00,,2,35.525,8.325,2180,587.25,8.35,13.625,,0,0,12.62,
9/13/16 23:00,,2,35,7.8,2156.5,587.875,8.25,13.1,,0,0,12.5925,
9/14/16 0:00,,2,34.25,7.6,2135.5,588.4,8.25,12.75,,0,0,12.57,
