Date,pm10ltp,pmfine
26-Apr-2016 13:00,3.3,2.5
26-Apr-2016 14:00,2.4,2
26-Apr-2016 15:00,1.1,1
26-Apr-2016 16:00,1.5,1.2
26-Apr-2016 17:00,2.1,1.6
26-Apr-2016 18:00,1.7,1.5
26-Apr-2016 19:00,2.3,1.9
26-Apr-2016 20:00,3,2.6
26-Apr-2016 21:00,3.8,3.2
26-Apr-2016 22:00,3.1,2.8
26-Apr-2016 23:00,3.5,3.1
27-Apr-2016 00:00,5.5,4.8
27-Apr-2016 01:00,4,3.5
27-Apr-2016 02:00,2.7,2.4
27-Apr-2016 03:00,2.5,2
27-Apr-2016 04:00,6.1,5
27-Apr-2016 05:00,7.7,5.7
27-Apr-2016 06:00,7.8,5.5
27-Apr-2016 07:00,7.2,4.7
27-Apr-2016 08:00,4.8,2.9
27-Apr-2016 09:00,4.9,3
27-Apr-2016 10:00,4.9,3.2
27-Apr-2016 11:00,5,3.5
27-Apr-2016 12:00,4.4,3.4
27-Apr-2016 13:00,4.5,3.6
27-Apr-2016 14:00,4,3
27-Apr-2016 15:00,3.3,2.2
27-Apr-2016 16:00,2.7,1.8
27-Apr-2016 17:00,3.1,2
27-Apr-2016 18:00,2.6,1.7
27-Apr-2016 19:00,2.6,1.8
27-Apr-2016 20:00,2.2,1.4
27-Apr-2016 21:00,1.6,1.3
27-Apr-2016 22:00,1.5,1.2
27-Apr-2016 23:00,1.4,1.1
28-Apr-2016 00:00,1.6,1.3
28-Apr-2016 01:00,2.1,1.5
28-Apr-2016 02:00,1.8,1.4
28-Apr-2016 03:00,2.1,1.4
28-Apr-2016 04:00,3.2,2.4
28-Apr-2016 05:00,2.5,2
28-Apr-2016 06:00,3.1,2.6
28-Apr-2016 07:00,2,1.7
28-Apr-2016 08:00,1.5,1.4
28-Apr-2016 09:00,4.3,2.2
28-Apr-2016 10:00,4.4,2.4
28-Apr-2016 11:00,6.1,2.7
28-Apr-2016 12:00,3.6,2.4
28-Apr-2016 13:00,5.6,2.5
28-Apr-2016 14:00,5,2.6
28-Apr-2016 15:00,6.9,3.3
28-Apr-2016 16:00,6.1,3.2
28-Apr-2016 17:00,6.2,3.4
28-Apr-2016 18:00,8.1,3.9
28-Apr-2016 19:00,8.3,4.4
28-Apr-2016 20:00,8.2,5.4
28-Apr-2016 21:00,7.2,5.3
28-Apr-2016 22:00,7.2,5.6
28-Apr-2016 23:00,7.5,6.1
29-Apr-2016 00:00,8,6.2
29-Apr-2016 01:00,6.4,5
29-Apr-2016 02:00,4.9,3.9
29-Apr-2016 03:00,4.1,3.2
29-Apr-2016 04:00,6,4.3
