timestamp,temperature[degC],humidity[%],no2[ppb],o3[ppb],no2_we[V],no2_aux[V],o3[V],latitude[deg],longitude[deg],altitude[m]
08/03/2016 07:17:14,19.41,63.18,---,---,---,---,---,---,---,---
08/03/2016 07:17:15,---,---,0,0,0.102589,0.232917,-0.826094,---,---,---
08/03/2016 07:17:19,19.41,63.15,---,---,---,---,---,---,---,---
08/03/2016 07:17:20,---,---,0,0,0.103289,0.232926,-0.826099,---,---,---
08/03/2016 07:17:24,19.42,63.12,---,---,---,---,---,---,---,---
08/03/2016 07:17:25,---,---,0,0,0.10396,0.232927,-0.826103,---,---,---
08/03/2016 07:17:29,19.42,63.09,---,---,---,---,---,---,---,---
08/03/2016 07:17:30,---,---,0,0,0.104594,0.232961,-0.826107,---,---,---
08/03/2016 07:17:34,19.43,63.06,---,---,---,---,---,---,---,---
08/03/2016 07:17:35,---,---,0,0,0.105283,0.232981,-0.82611,---,---,---
08/03/2016 07:17:39,19.43,63.03,---,---,---,---,---,---,---,---
08/03/2016 07:17:40,---,---,0,0,0.105881,0.232993,-0.826118,---,---,---
08/03/2016 07:17:44,19.44,63,---,---,---,---,---,---,---,---
08/03/2016 07:17:45,---,---,0,0,0.106511,0.233001,-0.826127,---,---,---
08/03/2016 07:17:49,19.45,62.98,---,---,---,---,---,---,---,---
08/03/2016 07:17:50,---,---,0,0,0.107241,0.232991,-0.826134,---,---,---
08/03/2016 07:17:54,19.45,62.95,---,---,---,---,---,---,---,---
08/03/2016 07:17:55,---,---,0,0,0.107758,0.23299,-0.826141,---,---,---
08/03/2016 07:17:59,19.46,62.93,---,---,---,---,---,---,---,---
08/03/2016 07:18:00,---,---,0,0,0.10839,0.232985,-0.826141,---,---,---
08/03/2016 07:18:04,19.46,---,---,---,---,---,---,---,---,---
08/03/2016 07:18:05,---,62.9,0,0,0.108965,0.232983,-0.826145,---,---,---
08/03/2016 07:18:09,19.46,62.87,---,---,---,---,---,---,---,---
08/03/2016 07:18:10,---,---,0,0,0.109556,0.233007,-0.826152,---,---,---
08/03/2016 07:18:14,19.47,---,---,---,---,---,---,---,---,---
08/03/2016 07:18:16,---,62.85,0,0,0.110133,0.233025,-0.826159,---,---,---
08/03/2016 07:18:19,19.47,62.82,---,---,---,---,---,---,---,---
08/03/2016 07:18:20,---,---,0,0,0.110697,0.233007,-0.826155,---,---,---
08/03/2016 07:18:24,19.48,62.8,---,---,---,---,---,---,---,---
08/03/2016 07:18:25,---,---,0,0,0.111269,0.233017,-0.826163,---,---,---
08/03/2016 07:18:29,19.48,62.78,---,---,---,---,---,---,---,---
08/03/2016 07:18:30,---,---,0,0,0.111885,0.233031,-0.826164,---,---,---
08/03/2016 07:18:34,19.49,62.75,---,---,---,---,---,---,---,---
08/03/2016 07:18:35,---,---,0,0,0.112463,0.233018,-0.826167,---,---,---
08/03/2016 07:18:39,19.49,62.73,---,---,---,---,---,---,---,---
08/03/2016 07:18:40,---,---,0,0,0.112952,0.233053,-0.826171,---,---,---
08/03/2016 07:18:44,19.49,62.71,---,---,---,---,---,---,---,---
08/03/2016 07:18:45,---,---,0,0,0.113515,0.233068,-0.826177,---,---,---
08/03/2016 07:18:49,19.5,62.68,---,---,---,---,---,---,---,---
08/03/2016 07:18:50,---,---,0,0,0.114094,0.233067,-0.826179,---,---,---
08/03/2016 07:18:54,19.5,62.66,---,---,---,---,---,---,---,---
08/03/2016 07:18:55,---,---,0,0,0.114671,0.233039,-0.826186,---,---,---
08/03/2016 07:18:59,19.51,62.64,---,---,---,---,---,---,---,---
08/03/2016 07:19:00,---,---,0,0,0.115166,0.233044,-0.826188,---,---,---
08/03/2016 07:19:04,19.51,62.62,---,---,---,---,---,---,---,---
08/03/2016 07:19:05,---,---,0,0,0.115656,0.233039,-0.826191,---,---,---
08/03/2016 07:19:09,19.51,62.6,---,---,---,---,---,---,---,---
08/03/2016 07:19:10,---,---,0,0,0.11621,0.233032,-0.826199,---,---,---
08/03/2016 07:19:14,19.52,62.58,---,---,---,---,---,---,---,---
08/03/2016 07:19:15,---,---,0,0,0.116706,0.233042,-0.826211,---,---,---
08/03/2016 07:19:19,19.52,---,---,---,---,---,---,---,---,---
08/03/2016 07:19:20,---,62.57,0,0,0.117139,0.233062,-0.826212,---,---,---
08/03/2016 07:19:24,19.52,62.55,---,---,---,---,---,---,---,---
08/03/2016 07:19:25,---,---,0,0,0.117688,0.233088,-0.826216,---,---,---
08/03/2016 07:19:29,19.53,62.53,---,---,---,---,---,---,---,---
08/03/2016 07:19:30,---,---,0,0,0.118156,0.233106,-0.826219,---,---,---
08/03/2016 07:19:34,19.53,62.51,---,---,---,---,---,---,---,---
08/03/2016 07:19:35,---,---,0,0,0.118598,0.233129,-0.826226,---,---,---
08/03/2016 07:19:39,19.53,62.49,---,---,---,---,---,---,---,---
08/03/2016 07:19:40,---,---,0,0,0.119075,0.233113,-0.826234,---,---,---
08/03/2016 07:19:44,19.54,62.47,---,---,---,---,---,---,---,---
08/03/2016 07:19:45,---,---,0,0,0.119535,0.233124,-0.826233,---,---,---
08/03/2016 07:19:49,19.54,62.45,---,---,---,---,---,---,---,---
08/03/2016 07:19:50,---,---,0,0,0.119981,0.233101,-0.826233,---,---,---
08/03/2016 07:19:54,19.54,62.43,---,---,---,---,---,---,---,---
08/03/2016 07:19:55,---,---,0,0,0.120394,0.233084,-0.826232,---,---,---
08/03/2016 07:19:59,19.55,62.42,---,---,---,---,---,---,---,---
08/03/2016 07:20:00,---,---,0,0,0.120796,0.233107,-0.826237,---,---,---
08/03/2016 07:20:04,19.55,62.4,---,---,---,---,---,---,---,---
08/03/2016 07:20:05,---,---,0,0,0.121281,0.233113,-0.826246,---,---,---
08/03/2016 07:20:09,19.55,62.36,---,---,---,---,---,---,---,---
08/03/2016 07:20:10,---,---,0,0,0.121741,0.2331,-0.82625,---,---,---
08/03/2016 07:20:15,19.56,---,---,---,---,---,---,---,---,---
08/03/2016 07:20:17,---,---,0,0,0.122177,0.233105,-0.826254,---,---,---
08/03/2016 07:20:19,19.56,62.35,---,---,---,---,---,---,---,---
08/03/2016 07:20:20,---,---,0,0,0.122691,0.233105,-0.826256,---,---,---
08/03/2016 07:20:24,19.56,62.33,---,---,---,---,---,---,---,---
08/03/2016 07:20:25,---,---,0,0,0.12309,0.233111,-0.826262,---,---,---
08/03/2016 07:20:29,19.57,---,---,---,---,---,---,---,---,---
08/03/2016 07:20:30,---,62.31,0,0,0.123406,0.233102,-0.82626,---,---,---
08/03/2016 07:20:34,19.57,62.29,---,---,---,---,---,---,---,---
08/03/2016 07:20:35,---,---,0,0,0.123816,0.233118,-0.826261,---,---,---
08/03/2016 07:20:39,19.57,62.27,---,---,---,---,---,---,---,---
08/03/2016 07:20:40,---,---,0,0,0.124197,0.233127,-0.826268,---,---,---
08/03/2016 07:20:44,19.57,62.25,---,---,---,---,---,---,---,---
08/03/2016 07:20:45,---,---,0,0,0.124573,0.233127,-0.82627,---,---,---
08/03/2016 07:20:49,19.58,62.24,---,---,---,---,---,---,---,---
08/03/2016 07:20:50,---,---,0,0,0.124962,0.233125,-0.826273,---,---,---
08/03/2016 07:20:55,19.58,62.22,0,---,0.1253,0.233135,---,---,---,---
08/03/2016 07:20:56,---,---,---,0,---,---,-0.826273,---,---,---
08/03/2016 07:20:59,19.58,62.21,---,---,---,---,---,---,---,---
08/03/2016 07:21:00,---,---,0,0,0.125656,0.233182,-0.826279,---,---,---
08/03/2016 07:21:04,19.59,62.19,---,---,---,---,---,---,---,---
08/03/2016 07:21:05,---,---,0,0,0.126009,0.233181,-0.826281,---,---,---
08/03/2016 07:21:09,19.59,---,---,---,---,---,---,---,---,---
08/03/2016 07:21:10,---,62.17,0,0,0.126303,0.233194,-0.826282,---,---,---
08/03/2016 07:21:14,19.59,62.15,---,---,---,---,---,---,---,---
