timestamp,temperature[degC],humidity[%],no2[ppb],o3[ppb],no2_we[V],no2_aux[V],o3[V],latitude[deg],longitude[deg],altitude[m]
08/03/2016 07:22:54,20.34,---,---,---,---,---,---,---,---,---
08/03/2016 07:22:55,---,58.94,0,0,0.13598,0.182332,-0.825381,---,---,---
08/03/2016 07:22:59,20.35,58.94,0,0,0.136357,0.182526,-0.825383,---,---,---
08/03/2016 07:23:04,20.35,58.94,0,0,0.136742,0.182747,-0.825394,---,---,---
08/03/2016 07:23:09,20.35,58.94,0,0,0.137115,0.182921,-0.825407,---,---,---
08/03/2016 07:23:14,20.35,58.93,0,0,0.137483,0.183048,-0.825431,---,---,---
08/03/2016 07:23:19,20.36,58.92,0,0,0.137875,0.183205,-0.825456,---,---,---
08/03/2016 07:23:24,20.36,58.92,0,0,0.138267,0.183383,-0.825478,---,---,---
08/03/2016 07:23:29,20.36,58.91,0,0,0.138668,0.183591,-0.825485,---,---,---
08/03/2016 07:23:34,20.36,58.9,0,0,0.139031,0.183746,-0.825498,---,---,---
08/03/2016 07:23:39,20.37,58.89,0,0,0.139346,0.183902,-0.82551,---,---,---
08/03/2016 07:23:44,20.37,58.88,0,0,0.139678,0.184038,-0.825547,---,---,---
08/03/2016 07:23:49,20.37,58.87,0,0,0.139998,0.184209,-0.825564,---,---,---
08/03/2016 07:23:54,20.37,58.87,0,0,0.140405,0.184411,-0.825595,---,---,---
08/03/2016 07:23:59,20.38,58.86,0,0,0.140824,0.184592,-0.825613,---,---,---
08/03/2016 07:24:04,20.38,58.85,0,0,0.141178,0.18469,-0.825638,---,---,---
08/03/2016 07:24:09,20.38,58.84,0,0,0.141512,0.184797,-0.825658,---,---,---
08/03/2016 07:24:15,20.38,58.83,0,0,0.14186,0.184966,-0.825681,---,---,---
08/03/2016 07:24:19,20.38,58.82,0,0,0.142145,0.185098,-0.825697,---,---,---
08/03/2016 07:24:24,20.38,58.81,0,0,0.142427,0.185235,-0.825709,---,---,---
08/03/2016 07:24:29,20.38,58.8,0,---,0.142766,0.185424,---,---,---,---
08/03/2016 07:24:30,---,---,---,0,---,---,-0.825722,---,---,---
08/03/2016 07:24:34,20.38,58.8,0,0,0.143061,0.185581,-0.825737,---,---,---
08/03/2016 07:24:39,20.38,58.8,0,0,0.143426,0.185743,-0.825753,---,---,---
08/03/2016 07:24:44,20.38,58.8,0,0,0.143809,0.185873,-0.825776,---,---,---
08/03/2016 07:24:49,20.38,58.81,0,0,0.144124,0.186109,-0.825789,---,---,---
08/03/2016 07:24:54,20.39,58.81,0,0,0.144491,0.186188,-0.825794,---,---,---
08/03/2016 07:24:59,20.39,58.82,0,0,0.144857,0.186331,-0.825796,---,---,---
08/03/2016 07:25:04,20.39,58.83,0,0,0.145174,0.186414,-0.825788,---,---,---
08/03/2016 07:25:09,20.39,58.84,0,0,0.145458,0.186565,-0.825791,---,---,---
08/03/2016 07:25:14,20.39,58.85,0,0,0.145729,0.186681,-0.8258,---,---,---
08/03/2016 07:25:19,20.39,58.85,0,0,0.146007,0.186816,-0.825816,---,---,---
08/03/2016 07:25:24,20.39,58.86,0,0,0.146244,0.186829,-0.825832,---,---,---
08/03/2016 07:25:29,20.39,58.86,0,0,0.146761,0.18695,-0.825841,---,---,---
08/03/2016 07:25:34,20.39,58.86,0,---,0.14705,0.187072,---,---,---,---
08/03/2016 07:25:35,---,---,---,0,---,---,-0.825846,---,---,---
08/03/2016 07:25:39,20.39,58.87,0,0,0.14732,0.187175,-0.825864,---,---,---
08/03/2016 07:25:44,20.39,58.88,0,0,0.147638,0.187319,-0.825878,---,---,---
08/03/2016 07:25:49,20.39,58.9,0,0,0.147952,0.187413,-0.825885,---,---,---
08/03/2016 07:25:54,20.39,58.93,0,0,0.148277,0.187506,-0.82588,---,---,---
08/03/2016 07:25:59,20.39,58.96,0,0,0.148599,0.187639,-0.825874,---,---,---
08/03/2016 07:26:04,20.4,58.99,0,0,0.148841,0.187794,-0.825876,---,---,---
08/03/2016 07:26:09,20.4,59.02,0,0,0.149227,0.187887,-0.825871,---,---,---
08/03/2016 07:26:14,20.4,59.06,0,0,0.149611,0.187975,-0.82587,---,---,---
08/03/2016 07:26:19,20.4,59.1,0,0,0.15,0.188071,-0.825875,---,---,---
08/03/2016 07:26:24,20.4,59.14,0,0,0.150386,0.188167,-0.825866,---,---,---
08/03/2016 07:26:29,20.4,59.18,0,0,0.150745,0.1883,-0.825871,---,---,---
08/03/2016 07:26:36,---,59.2,---,---,---,---,---,---,---,---
08/03/2016 07:26:37,---,---,0,0,0.150914,0.18837,-0.825874,---,---,---
08/03/2016 07:26:39,20.4,---,---,---,---,---,---,---,---,---
08/03/2016 07:26:40,---,59.22,0,0,0.151117,0.188448,-0.825885,---,---,---
08/03/2016 07:26:44,20.4,---,---,---,---,---,---,---,---,---
08/03/2016 07:26:45,---,59.24,0,0,0.151306,0.188611,-0.82588,---,---,---
08/03/2016 07:26:49,20.4,---,---,---,---,---,---,---,---,---
08/03/2016 07:26:50,---,59.25,0,0,0.151511,0.188695,-0.825886,---,---,---
08/03/2016 07:26:54,20.4,---,---,---,---,---,---,---,---,---
08/03/2016 07:26:55,---,59.26,0,0,0.151725,0.188786,-0.825884,---,---,---
08/03/2016 07:26:59,20.4,---,---,---,---,---,---,---,---,---
08/03/2016 07:27:00,---,59.27,0,0,0.151929,0.18892,-0.825894,---,---,---
08/03/2016 07:27:04,20.4,---,---,---,---,---,---,---,---,---
08/03/2016 07:27:05,---,59.28,0,0,0.152128,0.189051,-0.825899,---,---,---
08/03/2016 07:27:09,20.4,---,---,---,---,---,---,---,---,---
08/03/2016 07:27:10,---,59.29,0,0,0.152344,0.189175,-0.825904,---,---,---
08/03/2016 07:27:15,20.4,59.29,0,0,0.152635,0.189281,-0.825911,---,---,---
08/03/2016 07:27:19,20.41,---,---,---,---,---,---,---,---,---
08/03/2016 07:27:20,---,59.3,0,0,0.152825,0.189334,-0.825909,---,---,---
08/03/2016 07:27:24,20.41,---,---,---,---,---,---,---,---,---
08/03/2016 07:27:25,---,59.3,0,0,0.153001,0.189423,-0.825909,---,---,---
08/03/2016 07:27:29,20.41,---,---,---,---,---,---,---,---,---
08/03/2016 07:27:30,---,59.29,0,0,0.153163,0.189482,-0.825912,---,---,---
08/03/2016 07:27:35,20.41,59.28,0,0,0.153365,0.189619,-0.82593,---,---,---
08/03/2016 07:27:39,20.41,---,---,---,---,---,---,---,---,---
08/03/2016 07:27:40,---,59.27,0,0,0.153478,0.189728,-0.825947,---,---,---
08/03/2016 07:27:44,20.41,---,---,---,---,---,---,---,---,---
08/03/2016 07:27:45,---,59.26,0,0,0.153615,0.189841,-0.825966,---,---,---
08/03/2016 07:27:49,20.41,---,---,---,---,---,---,---,---,---
08/03/2016 07:27:50,---,59.26,0,0,0.153752,0.189914,-0.825977,---,---,---
08/03/2016 07:27:55,20.41,59.25,0,0,0.153941,0.190051,-0.825984,---,---,---
08/03/2016 07:27:59,20.41,---,---,---,---,---,---,---,---,---
08/03/2016 07:28:00,---,59.25,0,0,0.154199,0.190164,-0.825984,---,---,---
08/03/2016 07:28:04,20.41,---,---,---,---,---,---,---,---,---
08/03/2016 07:28:05,---,59.25,0,0,0.154414,0.190419,-0.825997,---,---,---
08/03/2016 07:28:09,20.42,---,---,---,---,---,---,---,---,---
08/03/2016 07:28:10,---,59.25,0,0,0.15468,0.190563,-0.826006,---,---,---
08/03/2016 07:28:14,20.42,---,---,---,---,---,---,---,---,---
08/03/2016 07:28:15,---,59.25,0,0,0.154904,0.190616,-0.82603,---,---,---
08/03/2016 07:28:19,20.42,---,---,---,---,---,---,---,---,---
08/03/2016 07:28:20,---,59.22,0,0,0.15515,0.190698,-0.826024,---,---,---
08/03/2016 07:28:26,20.42,---,---,---,---,---,---,---,---,---
08/03/2016 07:28:27,---,---,0,0,0.155344,0.190769,-0.826028,---,---,---
08/03/2016 07:28:29,20.42,---,---,---,---,---,---,---,---,---
08/03/2016 07:28:30,---,59.2,0,0,0.15552,0.190922,-0.826035,---,---,---
08/03/2016 07:28:34,20.42,---,---,---,---,---,---,---,---,---
08/03/2016 07:28:35,---,59.18,0,0,0.155653,0.19107,-0.826065,---,---,---
08/03/2016 07:28:40,20.43,59.15,0,0,0.155574,0.191177,-0.826069,---,---,---
08/03/2016 07:28:45,20.43,59.12,0,0,0.155857,0.191261,-0.826067,---,---,---
08/03/2016 07:28:50,20.43,59.09,0,0,0.155947,0.191356,-0.826061,---,---,---
08/03/2016 07:28:55,20.43,59.05,0,0,0.156032,0.191501,-0.826084,---,---,---
08/03/2016 07:29:00,20.44,59.01,0,0,0.156103,0.191568,-0.826086,---,---,---
08/03/2016 07:29:05,20.44,58.98,0,0,0.156184,0.191642,-0.826096,---,---,---
